MPs,nilre_filter_Red_component_percentile_90th,nilre_filter_Green_ component_percentile_90th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
PETp,252.1521,0,0,0,0,0,0
PLA,127.707,0,0,30.5084,48.4996,0,0
PP,33.1414,0,0,0,0,176.4279,27.1564
PS,252.4162,0,0,0,0,26.2007,3.7647
PVC,3.915175,0,0,0,0,0,0
OM,2.1937,0,0,5.6101,19.4111,0,0
PA,97.8376,0,0,44.805,71.2234,0,0
PETp,225.4058,0,0,0,0,0,0
PLA,92.85226667,0,0,39.56,62.9988,0,0
PP,22.8701,0,6.9756,0,0,93.0652,14.2059
PS,253.9682,0,0,0,0,111.01496,4.671
OM,2.3034,0,0,5.7366,18.2156,0,0
PVC,3.43812,0,0,0,0,0,0
PETp,185.4127,0,0,0,0,0,0
PLA,173.8783,0,0,30.8288,49.022,0,0
PP,31.9716,0,0,0,0,160.6859,24.722
PS,253.3109,0,0,0,0,44.0807,6.565
PVC,3.9464,0,0,0,0,0,0
PETp,206.3045,0,0,0,0,0,0
PLA,96.20671667,0,0,34.1556,54.3593,0,0
PP,0,0,8.0906,0,0,123.2759,18.9202
PS,248.9563,0,0,0,0,29.81401667,1.1675
PVC,3.019764,0,0,0,0,0,0
PETp,193.4797,0,0,0,0,0,0
PP,30.8018,0,0,0,0,148.7245,22.8574
PS,249.40365,0,0,0,0,36.4506,5.3604273
PETp,240.6207,0,0,0,0,0,0
PP,0,0,3.4727,0,0,192.4764,29.676
PS,248.29995,0,0,0,0,49.9027,5.9085
PETp,199.4638,0,0,0,0,0,0
PP,0,0,4.6239,0,0,123.4638,18.9557
PS,247.19625,0,0,0,0,69.99138333,0.7957
PP,0,0,5.663,0,0,225.4935,34.747
PS,246.09255,0,0,0,0,59.19483333,0.3798
PP,0,0,4.5218,0,0,139.6328,21.4461
PS,244.98885,0,0,0,0,68.39828333,9.8276
PSf,0,0,0,85.8152,136.9862,0,0
PP,0,0,3.782,0,0,224.6955,34.6504
PS,243.88515,0,0,0,0,60.775,3.16380197
PP,0,0,3.0422,0,0,207.7362,32.0169
PS,242.78145,0,0,0,0,63.3289,4.5911
PSf,0,0,0,76.86204,130.46546,0,0
PP,0,0,2.3024,0,0,192.6152,29.7015
PS,241.67775,0,0,0,0,72.8625,4.0304
PP,0,0,1.5626,0,0,156.5138,24.0786
PP,0,0,0.8228,0,0,161.8067,24.9036
